,id,popularity,release_date,title,vote_average,vote_count
5763,760161,3.3993,2022-07-27,Orphan: First Kill,6.606,2272
5764,498402,1.579,2021-11-10,Aline,6.606,390
5765,481084,4.9049,2019-10-10,The Addams Family,6.606,2457
5766,471498,1.642,2021-05-12,Oxygen,6.606,1512
5767,241239,2.2304,2014-12-31,A Most Violent Year,6.606,1509
5768,201749,0.6915,2013-08-22,Mr. Morgan's Last Love,6.606,317
5769,83899,2.2561,2013-08-22,You're Next,6.606,2636
5770,12185,2.9139,1978-06-28,Heaven Can Wait,6.606,434
5771,1562,9.415,2007-04-26,28 Weeks Later,6.606,5390
5772,33408,6.9356,1993-04-02,The Crush,6.6,537
5773,10264,1.0861,1990-12-19,Hamlet,6.605,428
5774,8643,3.2159,2005-09-09,The Exorcism of Emily Rose,6.605,2993
5775,1233069,6.4639,2025-04-29,Exterritorial,6.604,623
5776,619297,5.8411,2021-08-18,Sweet Girl,6.604,1270
5777,483104,3.5019,2017-11-17,A Christmas Prince,6.6,1471
5778,396422,14.6905,2017-08-03,Annabelle: Creation,6.604,5931
5779,44048,18.6227,2010-11-04,Unstoppable,6.604,3814
5780,483104,3.5019,2017-11-17,A Christmas Prince,6.6,1471
5781,396422,14.6905,2017-08-03,Annabelle: Creation,6.604,5931
5782,16296,2.2238,1988-05-27,Killer Klowns from Outer Space,6.604,1135
5783,11064,2.0618,1985-05-22,Brewster's Millions,6.604,646
5784,215,7.2946,2005-10-28,Saw II,6.603,5773
5785,39781,1.3303,2010-07-09,The Kids Are All Right,6.603,1564
5786,11884,1.7408,1984-07-13,The Last Starfighter,6.603,745
5787,10484,1.4044,1983-11-23,The ComDads,6.604,423
5788,834,14.1757,2006-01-12,Underworld: Evolution,6.602,4300
5789,549,0.8879,1996-08-09,Basquiat,6.603,310
5790,11184,1.3803,2004-09-04,Kinsey,6.602,508
5791,720755,1.3265,2020-10-16,The Kid Detective,6.601,462
5792,438674,2.7713,2019-02-21,Dragged Across Concrete,6.596,1086
5793,300673,4.6013,2016-01-27,The Finest Hours,6.601,1709
5794,20178,0.8465,2009-08-20,World's Greatest Dad,6.6,641
